section,listed_entry,normalized_series,listed_scope,entry_episode_count,series_total_episode_count,episode_count_basis,source_url,notes,budget_million,budget_per_episode_million
Cost per episode - Over US $20 million,The Lord of the Rings: The Rings of Power (season 1),The Lord of the Rings: The Rings of Power,season 1,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Rings_of_Power,,464,58
Cost per episode - Over US $20 million,The Lord of the Rings: The Rings of Power (season 2),The Lord of the Rings: The Rings of Power,season 2,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Rings_of_Power,,458.2,57.275
Cost per episode - Over US $20 million,Citadel,Citadel,full series aired to date,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Citadel_(TV_series),Season 2 was scheduled after the extraction date; not counted as aired.,300,50
Cost per episode - Over US $20 million,Stranger Things 5,Stranger Things,season 5,8,42,Wikipedia season/list of episodes pages,https://en.wikipedia.org/wiki/Stranger_Things_season_5,,400,50
Cost per episode - Over US $20 million,Secret Invasion,Secret Invasion,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Secret_Invasion_(TV_series),,211.8,35.3
Cost per episode - Over US $20 million,Stranger Things 4,Stranger Things,season 4,9,42,Wikipedia season/list of episodes pages,https://en.wikipedia.org/wiki/Stranger_Things_season_4,,270,30
Cost per episode - Over US $20 million,WandaVision,WandaVision,full miniseries,9,9,Wikipedia infobox,https://en.wikipedia.org/wiki/WandaVision,,225,25
Cost per episode - Over US $20 million,The Falcon and the Winter Soldier,The Falcon and the Winter Soldier,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Falcon_and_the_Winter_Soldier,,150,25
Cost per episode - Over US $20 million,Loki (season 1),Loki,season 1,6,12,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Loki_(season_1),,150,25
Cost per episode - Over US $20 million,Hawkeye,Hawkeye,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Hawkeye_(2021_TV_series),,150,25
Cost per episode - Over US $20 million,Ms. Marvel,Ms. Marvel,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries),,150,25
Cost per episode - Over US $20 million,She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,full series,9,9,Wikipedia infobox,https://en.wikipedia.org/wiki/She-Hulk:_Attorney_at_Law,,225,25
Cost per episode - Over US $20 million,Andor (season 2),Andor,season 2,12,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Andor_(season_2),,290.4,24.2
Cost per episode - Over US $20 million,Moon Knight,Moon Knight,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Moon_Knight_(miniseries),,144,24
Cost per episode - Over US $20 million,Loki (season 2),Loki,season 2,6,12,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Loki_(season_2),,141,23.5
Cost per episode - Over US $20 million,The Acolyte,The Acolyte,full series,8,8,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Acolyte,,180,22.5
Cost per episode - Over US $20 million,1923,1923,full series,16,16,Wikipedia infobox,https://en.wikipedia.org/wiki/1923_(TV_series),,352,22
Cost per episode - Over US $20 million,Andor (season 1),Andor,season 1,12,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Andor_(season_1),,240,20
Cost per episode - Over US $20 million,The Pacific,The Pacific,full miniseries,10,10,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Pacific,,200,20
Cost per episode - Over US $20 million,House of the Dragon,House of the Dragon,full series aired to date,18,18,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/House_of_the_Dragon,,360,20
Cost per episode - Over US $20 million,3 Body Problem,3 Body Problem,season 1 / full series aired to date,8,8,Wikipedia infobox,https://en.wikipedia.org/wiki/3_Body_Problem_(TV_series),,160,20
Cost per episode - Over US $20 million,Severance (season 2),Severance,season 2,10,19,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Severance_(season_2),,200,20
Cost per episode - Over US $10 million,One Piece (season 1),One Piece,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/One_Piece_(2023_TV_series),,141.08,17.635
Cost per episode - Over US $10 million,The Wheel of Time (season 1 and 2),The Wheel of Time,seasons 1-2,16,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Wheel_of_Time_(TV_series),Series total includes season 3 aired by extraction date.,259.2,16.2
Cost per episode - Over US $10 million,The Mandalorian,The Mandalorian,full series aired to date,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Mandalorian,,360,15
Cost per episode - Over US $10 million,See,See,full series,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/See_(TV_series),,360,15
Cost per episode - Over US $10 million,Game of Thrones (season 8),Game of Thrones,season 8,6,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Game_of_Thrones_(season_8),,90,15
Cost per episode - Over US $10 million,The Book of Boba Fett,The Book of Boba Fett,full miniseries,7,7,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Book_of_Boba_Fett,,105,15
Cost per episode - Over US $10 million,Obi-Wan Kenobi,Obi-Wan Kenobi,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi_(TV_series),,90,15
Cost per episode - Over US $10 million,The Sandman (season 1),The Sandman,season 1,11,22,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Sandman_(TV_series),Season 1 includes bonus episode.,165,15
Cost per episode - Over US $10 million,Ahsoka (season 1),Ahsoka,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Ahsoka_(TV_series),,120,15
Cost per episode - Over US $10 million,Avatar: The Last Airbender (season 1),Avatar: The Last Airbender,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender_(2024_TV_series),,120,15
Cost per episode - Over US $10 million,The Crown (season 6),The Crown,season 6,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_6),,144,14.4
Cost per episode - Over US $10 million,The Crown (season 5),The Crown,season 5,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_5),,143,14.3
Cost per episode - Over US $10 million,Arcane,Arcane,full series,18,18,Wikipedia infobox,https://en.wikipedia.org/wiki/Arcane_(TV_series),,248.4,13.8
Cost per episode - Over US $10 million,Percy Jackson and the Olympians (season 1),Percy Jackson and the Olympians,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Percy_Jackson_and_the_Olympians_(TV_series),,108,13.5
Cost per episode - Over US $10 million,ER (seasons 6 and 7),ER,seasons 6-7,44,331,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/ER_(TV_series),,572,13
Cost per episode - Over US $10 million,Pachinko (season 1),Pachinko,season 1,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Pachinko_(TV_series),,104,13
Cost per episode - Over US $10 million,Band of Brothers,Band of Brothers,full miniseries,10,10,Wikipedia infobox,https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries),,125,12.5
Cost per episode - Over US $10 million,The Boys,The Boys,full series aired to date,32,32,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Boys_(TV_series),,352,11
Cost per episode - Over US $10 million,The Crown (season 4),The Crown,season 4,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_4),,109,10.9
Cost per episode - Over US $10 million,Game of Thrones (season 6),Game of Thrones,season 6,10,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Game_of_Thrones_(season_6),,100,10
Cost per episode - Over US $10 million,Game of Thrones (season 7),Game of Thrones,season 7,7,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Game_of_Thrones_(season_7),,70,10
Cost per episode - Over US $10 million,The Crown (season 3),The Crown,season 3,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_3),,100,10
Cost per episode - Over US $10 million,His Dark Materials,His Dark Materials,full series,23,23,Wikipedia infobox,https://en.wikipedia.org/wiki/His_Dark_Materials_(TV_series),,230,10
Cost per episode - Over US $10 million,The Witcher,The Witcher,full series aired to date,24,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Witcher_(TV_series),,240,10
Cost per episode - Over US $10 million,Stranger Things 3,Stranger Things,season 3,8,42,Wikipedia season/list of episodes pages,https://en.wikipedia.org/wiki/Stranger_Things_season_3,,80,10
Cost per episode - Over US $10 million,The Last of Us (season 1),The Last of Us,season 1,9,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Last_of_Us_(season_1),Series total includes season 2 aired by extraction date.,90,10
Cost per episode - Over US $10 million,Halo,Halo,full series,17,17,Wikipedia infobox,https://en.wikipedia.org/wiki/Halo_(TV_series),,170,10
Cost per episode - Over US$1 million,Sense8,Sense8,full series,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/Sense8,,216,9
Cost per episode - Over US$1 million,"Doctor Who (2023 specials, series 14 and 15)",Doctor Who,listed scope only,20,,Wikipedia episode tables,https://en.wikipedia.org/wiki/Doctor_Who_(2023_specials),Scope count = 2023 specials (4) + series 14 (8) + series 15 (8); long-running programme total omitted.,170,8.5
Cost per episode - Over US$1 million,The Crown (season 2),The Crown,season 2,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_2),,82,8.2
Cost per episode - Over US$1 million,Stranger Things 2,Stranger Things,season 2,9,42,Wikipedia season/list of episodes pages,https://en.wikipedia.org/wiki/Stranger_Things_season_2,,72,8
Cost per episode - Over US$1 million,Ted (season 1),Ted,season 1,7,7,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Ted_(TV_series),,56,8
Cost per episode - Over US$1 million,The Crown (season 1),The Crown,season 1,10,60,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Crown_(season_1),,70,7
Cost per episode - Over US$1 million,Watership Down,Watership Down,full miniseries,4,4,Wikipedia infobox,https://en.wikipedia.org/wiki/Watership_Down_(TV_series),,26.8,6.7
Cost per episode - Over US$1 million,Game of Thrones (season 2),Game of Thrones,season 2,10,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Game_of_Thrones_(season_2),,60,6
Cost per episode - Over US$1 million,Stranger Things (season 1),Stranger Things,season 1,8,42,Wikipedia season/list of episodes pages,https://en.wikipedia.org/wiki/Stranger_Things_season_1,,48,6
Cost per episode - Over US$1 million,Tulsa King (season 2),Tulsa King,season 2,10,19,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Tulsa_King_(season_2),,60,6
Cost per episode - Over US$1 million,The Night Manager (season 1),The Night Manager,season 1,6,6,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Night_Manager_(British_TV_series),,30,5
Cost per episode - Over US$1 million,Boardwalk Empire (season 1),Boardwalk Empire,season 1,12,56,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Boardwalk_Empire_(season_1),,60,5
Cost per episode - Over US$1 million,House of Cards (season 1),House of Cards,season 1,13,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/House_of_Cards_(American_TV_series),,58.5,4.5
Cost per episode - Over US$1 million,House of Cards (seasons 2 and 3),House of Cards,seasons 2-3,26,73,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/House_of_Cards_(American_TV_series),,109.98,4.23
Cost per episode - Over US$1 million,Nashville,Nashville,full series,124,124,Wikipedia infobox,https://en.wikipedia.org/wiki/Nashville_(2012_TV_series),,508.4,4.1
Cost per episode - Over US$1 million,Hemlock Grove (season 1),Hemlock Grove,season 1,13,33,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Hemlock_Grove_(TV_series),,52,4
Cost per episode - Over US$1 million,Orange Is the New Black (season 1),Orange Is the New Black,season 1,13,91,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Orange_Is_the_New_Black,,52,4
Cost per episode - Over US$1 million,Seinfeld (season 9),Seinfeld,season 9,24,180,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Seinfeld_(season_9),,216,9
Cost per episode - Over US$1 million,Terminator: The Sarah Connor Chronicles (season 1),Terminator: The Sarah Connor Chronicles,season 1,9,31,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Terminator:_The_Sarah_Connor_Chronicles,,23.85,2.65
Cost per episode - Over US$1 million,Now and Again,Now and Again,full series,22,22,Wikipedia infobox,https://en.wikipedia.org/wiki/Now_and_Again,,52.8,2.4
Cost per episode - Over US$1 million,Cheers (season 10),Cheers,season 10,26,275,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Cheers_(season_10),,57.2,2.2
Cost per episode - Over US$1 million,Nash Bridges (seasons 3 to 6),Nash Bridges,seasons 3-6,91,122,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Nash_Bridges,,182,2
Cost per episode - Over US$1 million,Miami Vice (season 2),Miami Vice,season 2,22,111,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Miami_Vice_(season_2),,44,2
Cost per episode - Over US$1 million,Stargate SG-1 (season 10),Stargate SG-1,season 10,20,214,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Stargate_SG-1_(season_10),,40,2
Cost per episode - Over US$1 million,Stargate SG-1 (season 8),Stargate SG-1,season 8,20,214,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Stargate_SG-1_(season_8),,34,1.7
Cost per episode - Over US$1 million,Walking with Dinosaurs,Walking with Dinosaurs,full series,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Walking_with_Dinosaurs,,9.6,1.6
Cost per episode - Over US$1 million,The Flash,The Flash,full series,22,22,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Flash_(1990_TV_series),,35.2,1.6
Cost per episode - Over US$1 million,The Young Indiana Jones Chronicles (season 1),The Young Indiana Jones Chronicles,season 1,6,28,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Young_Indiana_Jones_Chronicles,,9,1.5
Cost per episode - Over US$1 million,Star Trek: Deep Space Nine (season 1),Star Trek: Deep Space Nine,season 1,20,176,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Star_Trek:_Deep_Space_Nine,,30,1.5
Cost per episode - Over US$1 million,The Untouchables (season 1),The Untouchables,season 1,18,42,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Untouchables_(1993_TV_series),,27,1.5
Cost per episode - Over US$1 million,Stargate Atlantis (season 1),Stargate Atlantis,season 1,20,100,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Stargate_Atlantis,,30,1.5
Cost per episode - Over US$1 million,The Simpsons (season 7),The Simpsons,season 7,25,,Wikipedia episode table,https://en.wikipedia.org/wiki/The_Simpsons_(season_7),Long-running current total omitted because it changes; listed scope count provided.,37.5,1.5
Cost per episode - Over US$1 million,Stargate SG-1 (season 1),Stargate SG-1,season 1,22,214,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Stargate_SG-1_(season_1),,28.6,1.3
Cost per episode - Over US$1 million,Dallas,Dallas,full series,357,357,Wikipedia infobox,https://en.wikipedia.org/wiki/Dallas_(1978_TV_series),,428.4,1.2
Cost per episode - Over US$1 million,Dynasty (season 9),Dynasty,season 9,22,220,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Dynasty_(1981_TV_series),,26.4,1.2
Cost per episode - Over US$1 million,Falcon Crest (season 6),Falcon Crest,season 6,28,227,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Falcon_Crest,,28,1
Cost per episode - Over US$1 million,Farscape,Farscape,full series,88,88,Wikipedia infobox,https://en.wikipedia.org/wiki/Farscape,,88,1
Cost per episode - Over US$1 million,Afro Samurai,Afro Samurai,full miniseries,5,5,Wikipedia infobox,https://en.wikipedia.org/wiki/Afro_Samurai,,5,1
Cost per episode - Over US$1 million,Da Vinci's Inquest (season 4),Da Vinci's Inquest,season 4,13,91,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Da_Vinci%27s_Inquest,,13,1
Cost per episode - Over US$1 million,Space: Above and Beyond,Space: Above and Beyond,full series,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/Space:_Above_and_Beyond,,24,1
